                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68127,                 3.4028,                0.95402,                0.01627,                0.98005,                0.15555,                0.13865,                0.45219,                 2.9996,                0.78045,             0.00022491,             0.00022491,             0.00022491
                      2,                0.35936,                 2.2493,                0.82453,                0.22039,                0.32865,                0.18917,                0.17199,                0.37965,                 2.5011,                 0.7822,             0.00045361,             0.00045361,             0.00045361
                      3,                 0.3382,                 1.9299,                0.81461,                 0.3668,                0.37685,                0.30485,                0.28258,                0.33943,                 2.2157,                0.79762,              0.0006777,              0.0006777,              0.0006777
                      4,                0.32197,                 1.7763,                  0.814,                0.29911,                 0.4093,                0.40574,                0.38037,                0.32856,                 1.7493,                 0.7943,             0.00080826,             0.00080826,             0.00080826
                      5,                0.30103,                 1.6128,                0.80167,                0.28139,                0.52739,                0.43712,                0.41258,                0.30914,                 1.5543,                0.79525,             0.00080001,             0.00080001,             0.00080001
                      6,                 0.2973,                 1.4781,                0.79472,                0.42492,                0.56282,                0.49831,                0.47725,                0.28282,                  1.398,                0.78935,             0.00079177,             0.00079177,             0.00079177
                      7,                0.27105,                 1.3368,                0.80602,                0.40377,                0.70407,                0.58765,                0.57235,                0.25905,                  1.159,                0.78132,             0.00078352,             0.00078352,             0.00078352
                      8,                0.26908,                 1.2586,                0.79313,                0.77349,                0.58364,                0.61083,                0.59543,                0.23879,                 1.0091,                0.79004,             0.00077527,             0.00077527,             0.00077527
                      9,                0.24731,                 1.1812,                0.79546,                0.47155,                0.67345,                0.62343,                0.60767,                0.24415,                 1.0631,                0.79128,             0.00076703,             0.00076703,             0.00076703
                     10,                0.24513,                 1.1229,                0.79433,                0.48428,                0.69988,                0.66099,                0.64934,                0.22751,                0.98926,                0.78638,             0.00075878,             0.00075878,             0.00075878
                     11,                  0.249,                 1.0317,                0.79425,                0.53284,                 0.7632,                0.67682,                0.66459,                 0.2285,                0.89355,                0.78457,             0.00075053,             0.00075053,             0.00075053
                     12,                 0.2327,                0.97977,                0.79263,                0.58259,                0.78875,                0.70627,                0.69339,                0.21521,                0.88794,                0.78772,             0.00074229,             0.00074229,             0.00074229
                     13,                0.21089,                0.96207,                0.78915,                0.60722,                0.76817,                0.71323,                0.70163,                0.20647,                0.82496,                0.77995,             0.00073404,             0.00073404,             0.00073404
                     14,                0.21587,                0.90216,                0.78318,                0.62459,                0.74342,                0.70958,                0.70122,                0.19817,                0.84635,                0.78023,             0.00072579,             0.00072579,             0.00072579
                     15,                 0.2048,                0.86306,                 0.7858,                0.65013,                0.71207,                0.72241,                0.71664,                0.17444,                0.84558,                0.78375,             0.00071755,             0.00071755,             0.00071755
                     16,                0.19253,                0.83077,                0.77986,                 0.6745,                0.68464,                0.72783,                0.72106,                0.17503,                0.81138,                0.78055,              0.0007093,              0.0007093,              0.0007093
                     17,                0.19456,                 0.8002,                0.78684,                0.56455,                 0.7598,                0.73594,                0.72871,                0.17879,                0.81302,                0.77537,             0.00070105,             0.00070105,             0.00070105
                     18,                0.18514,                0.74777,                0.78973,                0.60406,                 0.7827,                0.73322,                0.72906,                0.15714,                0.85141,                0.77725,             0.00069281,             0.00069281,             0.00069281
                     19,                 0.1778,                0.73812,                 0.7787,                 0.6488,                0.80442,                0.77255,                0.76376,                0.17149,                0.73725,                0.78134,             0.00068456,             0.00068456,             0.00068456
                     20,                0.18478,                0.73941,                  0.782,                  0.625,                0.71664,                0.72064,                 0.7149,                0.16531,                0.91076,                0.78058,             0.00067631,             0.00067631,             0.00067631
                     21,                0.17924,                0.71598,                0.77999,                0.72706,                0.73487,                0.77498,                0.76794,                0.15669,                0.81927,                0.78131,             0.00066807,             0.00066807,             0.00066807
                     22,                0.18218,                0.69723,                0.78536,                0.76867,                0.71663,                0.77651,                0.76604,                0.17436,                0.80001,                0.78073,             0.00065982,             0.00065982,             0.00065982
                     23,                0.17926,                0.64708,                0.78266,                0.67967,                0.73495,                0.77652,                0.77216,                0.15823,                0.75508,                0.77761,             0.00065157,             0.00065157,             0.00065157
                     24,                0.17274,                 0.6273,                0.77677,                0.65414,                0.74208,                0.76788,                0.76234,                0.15392,                0.80922,                0.77993,             0.00064333,             0.00064333,             0.00064333
                     25,                0.17107,                0.61089,                 0.7783,                0.65239,                0.81829,                0.79453,                0.78811,                0.15837,                0.73574,                0.77901,             0.00063508,             0.00063508,             0.00063508
                     26,                 0.1806,                0.61453,                0.78132,                0.74082,                0.68162,                0.77437,                0.77037,                0.15014,                0.83534,                0.78094,             0.00062683,             0.00062683,             0.00062683
                     27,                0.16756,                0.56527,                0.77733,                0.66709,                0.72624,                0.72693,                0.72232,                0.15766,                 0.7709,                0.78056,             0.00061859,             0.00061859,             0.00061859
                     28,                0.16205,                0.54298,                0.78297,                0.76601,                0.69438,                0.77497,                0.77106,                0.15402,                0.73754,                0.77977,             0.00061034,             0.00061034,             0.00061034
                     29,                0.16505,                0.56357,                0.78306,                0.66357,                0.78133,                0.77823,                0.77318,                0.14313,                0.76196,                0.77976,             0.00060209,             0.00060209,             0.00060209
                     30,                 0.1581,                0.53269,                0.78338,                0.75515,                0.72222,                0.78588,                 0.7822,                0.13764,                0.77679,                0.77721,             0.00059385,             0.00059385,             0.00059385
                     31,                0.15913,                0.52594,                0.78612,                0.62035,                0.82457,                0.78429,                0.77715,                0.13995,                0.74751,                0.77868,              0.0005856,              0.0005856,              0.0005856
                     32,                0.15054,                0.51349,                0.77928,                0.67407,                0.70875,                0.74695,                0.73954,                0.14256,                0.82695,                0.77827,             0.00057735,             0.00057735,             0.00057735
                     33,                0.15834,                0.51162,                0.77413,                0.67877,                0.78614,                0.78352,                0.77778,                0.13486,                0.71943,                0.77861,             0.00056911,             0.00056911,             0.00056911
                     34,                0.15149,                0.50011,                0.78432,                0.63422,                0.85842,                0.78741,                0.78263,                0.12772,                0.73497,                 0.7763,             0.00056086,             0.00056086,             0.00056086
                     35,                0.14718,                0.48094,                0.77569,                0.61853,                0.83363,                0.76349,                 0.7589,                 0.1313,                0.77228,                0.77631,             0.00055261,             0.00055261,             0.00055261
                     36,                0.14471,                 0.4664,                0.78258,                0.74091,                0.71658,                0.75976,                0.75365,                0.13004,                0.76969,                0.77643,             0.00054437,             0.00054437,             0.00054437
                     37,                0.15108,                0.45601,                0.78221,                0.73366,                0.72172,                0.75354,                0.74851,                0.14077,                0.77518,                0.77925,             0.00053612,             0.00053612,             0.00053612
                     38,                0.14895,                0.44894,                0.77927,                 0.7176,                0.80235,                0.81176,                0.80544,                0.12988,                0.67138,                0.77625,             0.00052787,             0.00052787,             0.00052787
                     39,                0.14314,                0.42276,                0.77655,                0.68466,                0.78727,                0.78265,                0.77748,                0.12836,                0.69598,                0.77678,             0.00051963,             0.00051963,             0.00051963
                     40,                0.14185,                0.40598,                0.77705,                0.73449,                0.70592,                0.74712,                  0.741,                0.12372,                0.75791,                0.77749,             0.00051138,             0.00051138,             0.00051138
                     41,                0.13757,                0.38021,                0.78089,                0.70617,                0.77326,                0.77286,                0.76927,                0.12932,                0.73125,                0.77607,             0.00050313,             0.00050313,             0.00050313
                     42,                0.14018,                 0.3738,                0.77683,                0.78171,                0.72045,                0.79038,                0.78621,                0.12041,                0.70989,                0.77532,             0.00049489,             0.00049489,             0.00049489
                     43,                0.13582,                 0.3796,                0.77954,                0.71473,                0.71222,                0.74959,                0.74707,                0.11736,                0.83305,                0.77317,             0.00048664,             0.00048664,             0.00048664
                     44,                   0.13,                0.36985,                0.77473,                0.65632,                0.83249,                0.78542,                0.78336,                0.12016,                0.70471,                0.77517,             0.00047839,             0.00047839,             0.00047839
                     45,                0.13317,                0.36972,                0.77379,                0.69126,                0.78326,                0.79448,                 0.7904,                0.12656,                0.73055,                0.77438,             0.00047015,             0.00047015,             0.00047015
                     46,                0.13572,                0.36519,                0.77366,                0.65463,                 0.8037,                0.79179,                0.78749,                0.11664,                0.68716,                0.77535,              0.0004619,              0.0004619,              0.0004619
                     47,                0.13011,                0.34487,                0.77751,                0.64841,                0.83346,                0.79045,                0.78631,                0.11488,                0.69384,                0.77555,             0.00045365,             0.00045365,             0.00045365
                     48,                 0.1377,                0.35983,                0.77614,                0.63542,                0.79719,                0.76454,                0.75816,                0.12613,                0.76745,                0.77559,             0.00044541,             0.00044541,             0.00044541
                     49,                0.13089,                0.35077,                   0.78,                0.69332,                0.74229,                0.74538,                0.74002,                0.11774,                  0.764,                0.77847,             0.00043716,             0.00043716,             0.00043716
                     50,                0.12874,                0.34148,                0.77169,                0.71228,                0.69301,                0.75759,                0.75467,                 0.1186,                0.74784,                0.77533,             0.00042891,             0.00042891,             0.00042891
                     51,                0.13034,                0.34957,                0.77181,                0.70106,                0.81225,                0.79116,                0.78716,                0.12031,                0.74096,                0.77466,             0.00042066,             0.00042066,             0.00042066
                     52,                0.12416,                0.32515,                0.77942,                  0.707,                0.73914,                0.79989,                0.79578,                0.11103,                0.69394,                0.77464,             0.00041242,             0.00041242,             0.00041242
                     53,                0.12535,                0.31425,                0.77711,                0.70493,                0.76849,                0.79684,                0.79282,                0.11045,                0.67774,                0.77669,             0.00040417,             0.00040417,             0.00040417
                     54,                0.12395,                0.30182,                0.77407,                0.71077,                0.79267,                0.79516,                0.79243,                0.11306,                 0.6655,                0.77793,             0.00039592,             0.00039592,             0.00039592
                     55,                0.12496,                0.29652,                0.77349,                0.68659,                0.81352,                0.81098,                0.80779,                0.11566,                0.61546,                0.77648,             0.00038768,             0.00038768,             0.00038768
                     56,                0.12461,                0.30981,                0.77639,                0.78125,                0.69592,                0.78316,                0.77992,                0.11163,                0.71961,                0.77468,             0.00037943,             0.00037943,             0.00037943
                     57,                 0.1269,                0.31636,                0.77562,                  0.735,                0.79044,                0.79086,                0.78855,                0.10919,                0.71691,                0.77447,             0.00037118,             0.00037118,             0.00037118
                     58,                0.12111,                0.30019,                0.77381,                0.73717,                 0.7467,                0.78683,                0.78286,                0.10579,                0.75404,                0.77384,             0.00036294,             0.00036294,             0.00036294
                     59,                0.12471,                0.28866,                0.77187,                0.72617,                0.80033,                0.80643,                0.80209,                0.11346,                0.67607,                0.77786,             0.00035469,             0.00035469,             0.00035469
                     60,                0.12385,                 0.2968,                0.77758,                  0.813,                0.74469,                0.80475,                0.80059,                0.10882,                0.65514,                0.77729,             0.00034644,             0.00034644,             0.00034644
                     61,                0.12223,                0.29094,                0.77268,                0.72286,                0.76872,                0.78631,                0.78216,                0.10304,                0.70113,                0.77741,              0.0003382,              0.0003382,              0.0003382
                     62,                0.11786,                0.27511,                0.77503,                0.68938,                0.77698,                0.78045,                0.77569,                0.10875,                0.68682,                0.77909,             0.00032995,             0.00032995,             0.00032995
                     63,                0.11544,                0.27245,                0.78135,                0.72583,                0.80367,                0.80096,                0.79588,                0.10553,                0.64741,                0.77601,              0.0003217,              0.0003217,              0.0003217
                     64,                0.11484,                0.25129,                0.77598,                0.71119,                0.79305,                 0.8153,                0.81265,                0.10416,                0.62644,                0.77609,             0.00031346,             0.00031346,             0.00031346
                     65,                0.11138,                0.25016,                 0.7758,                0.73134,                0.77874,                0.79769,                0.79364,                0.09956,                0.65273,                0.77419,             0.00030521,             0.00030521,             0.00030521
                     66,                0.11587,                0.25968,                0.77468,                0.73998,                0.78647,                0.80619,                0.80101,                0.10247,                0.65034,                0.77544,             0.00029696,             0.00029696,             0.00029696
                     67,                0.11068,                  0.251,                0.77363,                0.67546,                0.83537,                0.80925,                0.80713,                0.09981,                0.63815,                0.77747,             0.00028872,             0.00028872,             0.00028872
                     68,                0.11231,                0.24401,                0.77162,                0.74076,                0.79414,                0.79436,                 0.7903,                0.10008,                  0.672,                0.77636,             0.00028047,             0.00028047,             0.00028047
                     69,                0.11127,                0.24664,                0.77296,                0.72374,                0.79197,                0.77374,                 0.7699,                0.10309,                 0.7103,                 0.7754,             0.00027222,             0.00027222,             0.00027222
                     70,                0.11231,                0.25376,                0.77706,                0.75156,                 0.8174,                0.80054,                0.79879,                0.10134,                0.64671,                0.77586,             0.00026398,             0.00026398,             0.00026398
                     71,                0.11058,                0.24002,                0.76976,                0.74263,                0.80751,                0.82112,                0.81876,                0.09637,                  0.623,                0.77418,             0.00025573,             0.00025573,             0.00025573
                     72,                0.10983,                0.23386,                0.77306,                 0.7465,                0.78913,                0.82387,                0.82077,                0.09915,                0.61839,                0.77458,             0.00024748,             0.00024748,             0.00024748
                     73,                0.10969,                0.23466,                0.77614,                0.79235,                0.74784,                0.82023,                0.81705,                0.10066,                0.62957,                0.77581,             0.00023924,             0.00023924,             0.00023924
                     74,                0.10772,                0.22654,                0.77255,                0.71893,                0.82312,                0.81918,                 0.8169,                0.10363,                0.64887,                0.77749,             0.00023099,             0.00023099,             0.00023099
                     75,                0.10433,                0.21878,                0.77302,                0.67277,                0.81218,                0.79228,                0.78969,                0.09619,                0.68721,                0.77643,             0.00022274,             0.00022274,             0.00022274
                     76,                0.10367,                0.20813,                0.76963,                0.73139,                0.78832,                0.79401,                 0.7917,                0.09806,                0.70696,                0.77558,              0.0002145,              0.0002145,              0.0002145
                     77,                 0.1049,                 0.2129,                0.77312,                0.72817,                0.78128,                0.80269,                0.80105,                0.09339,                 0.6905,                0.77457,             0.00020625,             0.00020625,             0.00020625
                     78,                0.10065,                0.20938,                0.77699,                0.75355,                0.76863,                0.80372,                0.80159,                0.09086,                0.66884,                0.77412,               0.000198,               0.000198,               0.000198
